% The dataset contains car specifications and purchase and maintenance costs, with the goal of determining which combinations of specifications and costs are acceptable.
@relation 'Automotive Trading#car'
@attribute 'Purchase Price: The purchase price.' {very_high, high, medium, low}
@attribute 'Maintenance Price: The maintenance price.' {very_high, high, medium, low}
@attribute 'Doors: The number of doors the car has.' {2, 3, 4, more}
@attribute 'Persons: The capacity in terms of the number of people it can carry.' {2, 4, more}
@attribute 'Boot: The size of the boot.' {small, medium, big}
@attribute 'Safety: The estimated safety of the car.' {low, medium, high}
@attribute 'Rating: The rating of the potential purchase.' {unacceptable, acceptable, good, very_good}
@data
very_high,very_high,2,2,small,low,unacceptable
very_high,very_high,2,2,small,medium,unacceptable
very_high,very_high,2,2,small,high,unacceptable
very_high,very_high,2,2,medium,low,unacceptable
very_high,very_high,2,2,medium,medium,unacceptable
very_high,very_high,2,2,medium,high,unacceptable
very_high,very_high,2,2,big,low,unacceptable
very_high,very_high,2,2,big,medium,unacceptable
very_high,very_high,2,2,big,high,unacceptable
very_high,very_high,2,4,small,low,unacceptable
very_high,very_high,2,4,small,medium,unacceptable
very_high,very_high,2,4,small,high,unacceptable
very_high,very_high,2,4,medium,low,unacceptable
very_high,very_high,2,4,medium,medium,unacceptable
very_high,very_high,2,4,medium,high,unacceptable
very_high,very_high,2,4,big,low,unacceptable
very_high,very_high,2,4,big,medium,unacceptable
very_high,very_high,2,4,big,high,unacceptable
very_high,very_high,2,more,small,low,unacceptable
very_high,very_high,2,more,small,medium,unacceptable
very_high,very_high,2,more,small,high,unacceptable
very_high,very_high,2,more,medium,low,unacceptable
very_high,very_high,2,more,medium,medium,unacceptable
very_high,very_high,2,more,medium,high,unacceptable
very_high,very_high,2,more,big,low,unacceptable
very_high,very_high,2,more,big,medium,unacceptable
very_high,very_high,2,more,big,high,unacceptable
very_high,very_high,3,2,small,low,unacceptable
very_high,very_high,3,2,small,medium,unacceptable
very_high,very_high,3,2,small,high,unacceptable
very_high,very_high,3,2,medium,low,unacceptable
very_high,very_high,3,2,medium,medium,unacceptable
very_high,very_high,3,2,medium,high,unacceptable
very_high,very_high,3,2,big,low,unacceptable
very_high,very_high,3,2,big,medium,unacceptable
very_high,very_high,3,2,big,high,unacceptable
very_high,very_high,3,4,small,low,unacceptable
very_high,very_high,3,4,small,medium,unacceptable
very_high,very_high,3,4,small,high,unacceptable
very_high,very_high,3,4,medium,low,unacceptable
very_high,very_high,3,4,medium,medium,unacceptable
very_high,very_high,3,4,medium,high,unacceptable
very_high,very_high,3,4,big,low,unacceptable
very_high,very_high,3,4,big,medium,unacceptable
very_high,very_high,3,4,big,high,unacceptable
very_high,very_high,3,more,small,low,unacceptable
very_high,very_high,3,more,small,medium,unacceptable
very_high,very_high,3,more,small,high,unacceptable
very_high,very_high,3,more,medium,low,unacceptable
very_high,very_high,3,more,medium,medium,unacceptable
very_high,very_high,3,more,medium,high,unacceptable
very_high,very_high,3,more,big,low,unacceptable
very_high,very_high,3,more,big,medium,unacceptable
very_high,very_high,3,more,big,high,unacceptable
very_high,very_high,4,2,small,low,unacceptable
very_high,very_high,4,2,small,medium,unacceptable
very_high,very_high,4,2,small,high,unacceptable
very_high,very_high,4,2,medium,low,unacceptable
very_high,very_high,4,2,medium,medium,unacceptable
very_high,very_high,4,2,medium,high,unacceptable
very_high,very_high,4,2,big,low,unacceptable
very_high,very_high,4,2,big,medium,unacceptable
very_high,very_high,4,2,big,high,unacceptable
very_high,very_high,4,4,small,low,unacceptable
very_high,very_high,4,4,small,medium,unacceptable
very_high,very_high,4,4,small,high,unacceptable
very_high,very_high,4,4,medium,low,unacceptable
very_high,very_high,4,4,medium,medium,unacceptable
very_high,very_high,4,4,medium,high,unacceptable
very_high,very_high,4,4,big,low,unacceptable
very_high,very_high,4,4,big,medium,unacceptable
very_high,very_high,4,4,big,high,unacceptable
very_high,very_high,4,more,small,low,unacceptable
very_high,very_high,4,more,small,medium,unacceptable
very_high,very_high,4,more,small,high,unacceptable
very_high,very_high,4,more,medium,low,unacceptable
very_high,very_high,4,more,medium,medium,unacceptable
very_high,very_high,4,more,medium,high,unacceptable
very_high,very_high,4,more,big,low,unacceptable
very_high,very_high,4,more,big,medium,unacceptable
very_high,very_high,4,more,big,high,unacceptable
very_high,very_high,more,2,small,low,unacceptable
very_high,very_high,more,2,small,medium,unacceptable
very_high,very_high,more,2,small,high,unacceptable
very_high,very_high,more,2,medium,low,unacceptable
very_high,very_high,more,2,medium,medium,unacceptable
very_high,very_high,more,2,medium,high,unacceptable
very_high,very_high,more,2,big,low,unacceptable
very_high,very_high,more,2,big,medium,unacceptable
very_high,very_high,more,2,big,high,unacceptable
very_high,very_high,more,4,small,low,unacceptable
very_high,very_high,more,4,small,medium,unacceptable
very_high,very_high,more,4,small,high,unacceptable
very_high,very_high,more,4,medium,low,unacceptable
very_high,very_high,more,4,medium,medium,unacceptable
very_high,very_high,more,4,medium,high,unacceptable
very_high,very_high,more,4,big,low,unacceptable
